科目区分	科目小区分	学部課程	年度	科目名	必須度	学修プログラム	専門応用履修要件	履修指導科目	配当年次履修登録必須科目
専攻科目	専門基礎科目	数理·情報科学課程	2025	微積分及び演習I	必修	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	線形代数及び演習I	必修	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	情報基礎	必修	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	プログラミング及び実習I	必修	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	情報と職業	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	クラウドコンピュ-ティング演習	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	キャリア実習·実習指導	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	ASEAN グロ-バルプログラム	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	デザインシンキング	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	グロ-バル人材育成プログラム	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	プロジェクトリサ-チI	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	プロジェクトリサ-チII	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	先端理工キャリア実習I	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	先端理工インタ-ンシップI	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	先端理工キャリア実習II	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	先端理工インタ-ンシップII	選択	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	フレッシャ-ズセミナ-	選択	NULL	NULL	NULL	TRUE
専攻科目	専門基礎科目	数理·情報科学課程	2025	理工学のすすめ	選択	NULL	NULL	NULL	TRUE
専攻科目	専門基礎科目	数理·情報科学課程	2025	数理情報基礎演習A	随意	NULL	NULL	NULL	NULL
専攻科目	専門基礎科目	数理·情報科学課程	2025	数理情報基礎演習B	随意	NULL	NULL	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	微積分及び演習II	選必	NULL	数学系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	線形代数及び演習II	選必	NULL	数学系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	微分方程式I	選必	NULL	数学系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	微分方程式II	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	集合と論理	選必	NULL	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	複素解析I	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	複素解析II	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	位相入門I	選択	[1]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	位相入門II	選択	[1]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	代数入門I	選択	[1]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	代数入門II	選択	[1]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	幾何入門	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	応用幾何	選択	[1]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	物理と微分方程式及び演習	選必	NULL	数学系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	質点系の力学	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	フ-リエ解析及び演習	選必	NULL	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	シミュレ-ション及び演習	選択	[2,3]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	ベクトル解析入門	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	現象の数理モデルI	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	現象の数理モデルII	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	拡散現象の数理I	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	拡散現象の数理II	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	波動現象の数理I	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	波動現象の数理II	選択	[1,2]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	確率モデル及び演習	選択	[2,3,4]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	デ-タ分析	選必	NULL	数学系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	確率統計I	選必	NULL	数学系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	確率統計II	選択	[1,4]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	確率統計III	選択	[1,4]	数学系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	多変量解析及び演習	選択	[4]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	機械学習I	選択	[3,4,7]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	機械学習II	選択	[3,4,7]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	デ-タ構造とアルゴリズムI	選択	[3,4]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	デ-タ構造とアルゴリズムII	選択	[3,4]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	最適化の数理I	選択	[3,4,7]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	最適化の数理II	選択	[3,4,7]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	情報処理システムI	選必	NULL	情報系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	情報処理システムII	選必	NULL	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	プログラミング及び実習II	選必	NULL	情報系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	プログラミング及び実習III	選必	NULL	情報系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	数値計算法及び演習	選必	NULL	数学系	TRUE	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	アルゴリズム及び演習I	選択	[3]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	アルゴリズム及び演習II	選択	[3]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	オブジェクト指向及び演習	選択	[3]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	グラフィックス及び演習	選択	[2,3,4]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	ネットワ-ク及び演習	選択	[3]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	言語と計算I	選択	[3]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	言語と計算II	選択	[3]	情報系	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	プロジェクト演習	必修	NULL	NULL	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	数理·情報科学の学びと社会	必修	[25]	NULL	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	数理情報演習	必修	NULL	NULL	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	セミナ-I	必修	NULL	NULL	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	セミナ-II	必修	NULL	NULL	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	特別研究I	必修	NULL	NULL	NULL	NULL
専攻科目	専門応用科目	数理·情報科学課程	2025	特別研究II	必修	NULL	NULL	NULL	NULL
