科目名	学部課程	年度	科目区分	科目小区分	応用化学分野	必須度	学修プログラム
化学の英語	応用化学	2025	専攻科目	専門基礎科目	英語	必修	null
化学の基礎	応用化学	2025	専攻科目	専門基礎科目	化学	必修	null
化学と社会	応用化学	2025	専攻科目	専門基礎科目	化学	必修	[25]
化学と安全管理	応用化学	2025	専攻科目	専門基礎科目	化学	必修	[16]
化学と情報処理	応用化学	2025	専攻科目	専門基礎科目	化学	必修	null
数学の基礎	応用化学	2025	専攻科目	専門基礎科目	数学	必修	null
物理の基礎	応用化学	2025	専攻科目	専門基礎科目	物理学	必修	null
物理化学Ⅰ	応用化学	2025	専攻科目	専門基礎科目	物理化学	必修	null
物理化学Ⅱ	応用化学	2025	専攻科目	専門基礎科目	物理化学	必修	null
物理化学Ⅲ	応用化学	2025	専攻科目	専門基礎科目	物理化学	必修	null
無機化学Ⅰ	応用化学	2025	専攻科目	専門基礎科目	無機化学	必修	null
無機化学Ⅱ	応用化学	2025	専攻科目	専門基礎科目	無機化学	必修	null
有機化学Ⅰ	応用化学	2025	専攻科目	専門基礎科目	有機化学	必修	null
有機化学Ⅱ	応用化学	2025	専攻科目	専門基礎科目	有機化学	必修	null
プロジェクト演習Ⅰ	応用化学	2025	専攻科目	専門基礎科目	実験・演習	必修	null
プロジェクト演習Ⅱ	応用化学	2025	専攻科目	専門基礎科目	実験・演習	選択	null
地学概論	応用化学	2025	専攻科目	専門基礎科目	地学	選択	null
生物学概論	応用化学	2025	専攻科目	専門基礎科目	生物学	選択	null
物理基礎実験	応用化学	2025	専攻科目	専門基礎科目	物理学	必修	null
化学基礎実験	応用化学	2025	専攻科目	専門基礎科目	化学	必修	null
物理化学実験	応用化学	2025	専攻科目	専門基礎科目	物理化学	必修	null
機器分析化学実験	応用化学	2025	専攻科目	専門基礎科目	化学	必修	null
化学合成実験	応用化学	2025	専攻科目	専門基礎科目	化学	必修	null
地学実験	応用化学	2025	専攻科目	専門基礎科目	地学	選択	null
生物学実験	応用化学	2025	専攻科目	専門基礎科目	生物学	選択	null
キャリア実習・実習指導	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
ASEAN グローバルプログラム	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
デザインシンキング	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
グローバル人材育成プログラム	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
プロジェクトリサーチⅠ	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
プロジェクトリサーチⅡ	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
先端理工キャリア実習Ⅰ	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
先端理工インターンシップⅠ	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
先端理工キャリア実習Ⅱ	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
先端理工インターンシップⅡ	応用化学	2025	専攻科目	専門基礎科目	実験・実習	選択	null
情報基礎	応用化学	2025	専攻科目	専門基礎科目	総合	必修	null
フレッシャーズセミナー	応用化学	2025	専攻科目	専門基礎科目	総合	選択	null
理工学のすすめ	応用化学	2025	専攻科目	専門基礎科目	総合	選択	null
資源・エネルギーと環境	応用化学	2025	専攻科目	専門基礎科目	総合	必修	[16,24,25]
クラウドコンピューティング演習	応用化学	2025	専攻科目	専門基礎科目	総合	随意	null
科学技術英語	応用化学	2025	専攻科目	専門応用科目	英語	必修	null
英語セミナー	応用化学	2025	専攻科目	専門応用科目	英語	必修	null
アドバンスト数学Ⅰ	応用化学	2025	専攻科目	専門応用科目	数学	選択	null
アドバンスト数学Ⅱ	応用化学	2025	専攻科目	専門応用科目	数学	選択	null
アドバンスト数学Ⅲ	応用化学	2025	専攻科目	専門応用科目	数学	選択	null
アドバンスト数学Ⅳ	応用化学	2025	専攻科目	専門応用科目	数学	選択	null
アドバンスト物理Ⅰ	応用化学	2025	専攻科目	専門応用科目	物理学	選択	null
アドバンスト物理Ⅱ	応用化学	2025	専攻科目	専門応用科目	物理学	選択	null
アドバンスト物理Ⅲ	応用化学	2025	専攻科目	専門応用科目	物理学	選択	null
アドバンスト物理Ⅳ	応用化学	2025	専攻科目	専門応用科目	物理学	選択	null
電気化学Ⅰ	応用化学	2025	専攻科目	専門応用科目	物理化学	選択	[17]
電気化学Ⅱ	応用化学	2025	専攻科目	専門応用科目	物理化学	選択	[17]
アドバンスト電気化学	応用化学	2025	専攻科目	専門応用科目	物理化学	選択	[17]
分析化学	応用化学	2025	専攻科目	専門応用科目	分析化学	選択	[20]
機器分析化学	応用化学	2025	専攻科目	専門応用科目	分析化学	選択	[20]
アドバンスト機器分析化学Ⅰ	応用化学	2025	専攻科目	専門応用科目	分析化学	選択	[20]
アドバンスト機器分析化学Ⅱ	応用化学	2025	専攻科目	専門応用科目	分析化学	選択	[20]
結晶学入門Ⅰ	応用化学	2025	専攻科目	専門応用科目	無機化学	選択	[19]
結晶学入門Ⅱ	応用化学	2025	専攻科目	専門応用科目	無機化学	選択	[19]
固体物性化学Ⅰ	応用化学	2025	専攻科目	専門応用科目	無機化学	選択	[17]
固体物性化学Ⅱ	応用化学	2025	専攻科目	専門応用科目	無機化学	選択	[17]
セラミックス材料工学Ⅰ	応用化学	2025	専攻科目	専門応用科目	無機化学	選択	[19]
セラミックス材料工学Ⅱ	応用化学	2025	専攻科目	専門応用科目	無機化学	選択	[19]
構造解析学	応用化学	2025	専攻科目	専門応用科目	無機化学	選択	[17]
医薬品のプロセス化学	応用化学	2025	専攻科目	専門応用科目	有機化学	選択	[18]
有機化合物スペクトル解析入門Ⅰ	応用化学	2025	専攻科目	専門応用科目	有機化学	選択	[18]
有機化合物スペクトル解析入門Ⅱ	応用化学	2025	専攻科目	専門応用科目	有機化学	選択	[18]
光化学Ⅰ	応用化学	2025	専攻科目	専門応用科目	有機化学	選択	[18]
光化学Ⅱ	応用化学	2025	専攻科目	専門応用科目	有機化学	選択	[18]
逆合成解析化学Ⅰ	応用化学	2025	専攻科目	専門応用科目	有機化学	選択	[18]
逆合成解析化学Ⅱ	応用化学	2025	専攻科目	専門応用科目	有機化学	選択	[18]
高分子化学Ⅰ	応用化学	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子化学Ⅱ	応用化学	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子構造材料物性Ⅰ	応用化学	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子構造材料物性Ⅱ	応用化学	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子材料工学Ⅰ	応用化学	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
高分子材料工学Ⅱ	応用化学	2025	専攻科目	専門応用科目	高分子化学	選択	[19]
生化学Ⅰ	応用化学	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[18,19]
生化学Ⅱ	応用化学	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[18,19]
分子集合化学	応用化学	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[18]
バイオミメティックス　生物に倣ったものづくり	応用化学	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[18]
界面化学	応用化学	2025	専攻科目	専門応用科目	生物機能分子化学	選択	[19]
バイオマテリアルⅠ	応用化学	2025	専攻科目	専門応用科目	材料科学	選択	[18,19]
バイオマテリアルⅡ	応用化学	2025	専攻科目	専門応用科目	材料科学	選択	[18,19]
量子材料科学Ⅰ	応用化学	2025	専攻科目	専門応用科目	材料科学	選択	[17]
量子材料科学Ⅱ	応用化学	2025	専攻科目	専門応用科目	材料科学	選択	[17]
半導体材料科学Ⅰ	応用化学	2025	専攻科目	専門応用科目	材料科学	選択	[17]
半導体材料科学Ⅱ	応用化学	2025	専攻科目	専門応用科目	材料科学	選択	[17]
ナノマテリアル	応用化学	2025	専攻科目	専門応用科目	材料科学	選択	[19]
アドバンスト環境化学Ⅰ	応用化学	2025	専攻科目	専門応用科目	環境化学	選択	[18,20]
アドバンスト環境化学Ⅱ	応用化学	2025	専攻科目	専門応用科目	環境化学	選択	[18,20]
循環型グリーンケミストリー	応用化学	2025	専攻科目	専門応用科目	環境化学	選択	[18,20]
食と分子科学	応用化学	2025	専攻科目	専門応用科目	環境化学	選択	[18,20]
アドバンスト物質科学合成実験	応用化学	2025	専攻科目	専門応用科目	実験・実習	選択	null
研究デザイン演習	応用化学	2025	専攻科目	専門応用科目	実験・実習	必修	null
化学工学	応用化学	2025	専攻科目	専門応用科目	その他	選択	[20]
反応工学	応用化学	2025	専攻科目	専門応用科目	その他	選択	[20]
エネルギー変換工学Ⅰ	応用化学	2025	専攻科目	専門応用科目	その他	選択	[17]
エネルギー変換工学Ⅱ	応用化学	2025	専攻科目	専門応用科目	その他	選択	[17]
特別研究	応用化学	2025	専攻科目	専門応用科目	特別研究	必修	null
