subject_name	target_courses
セミナ-I	環境科学課程, 環境生態工学課程, 先端理工学部
セミナ-II	環境科学課程, 環境生態工学課程, 先端理工学部
デ-タサイエンス及び演習	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
応用生態学	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
群集生態学	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
水域生態学	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
生態系生態学	環境科学課程, 環境生態工学課程, 先端理工学部
生物資源利用	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
先端技術	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
特別研究	環境科学課程, 環境生態工学課程, 先端理工学部
里山の生態学	応用化学課程, 環境科学課程, 環境生態工学課程, 機械工学·ロボティクス課程, 数理·情報科学課程, 先端理工学部, 知能情報メディア課程, 電子情報通信課程
