"{projectルートからのシラバスjsonのpath}", "error message", "time"
"src/syllabus/2025/json/Y005060010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「図解 ﾌｧｲﾝｾﾗﾐｯｸｽの結晶化学」、CiNii書籍名「図解ファインセラミックスの結晶化学 : 無機固体化合物の構造と性質」", "2025-06-19 15:19:11"
"src/syllabus/2025/json/Y005066010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「図解 ﾌｧｲﾝｾﾗﾐｯｸｽの結晶化学」、CiNii書籍名「図解ファインセラミックスの結晶化学 : 無機固体化合物の構造と性質」", "2025-06-19 15:19:14"
"src/syllabus/2025/json/Y005074010.json", "不正ISBN: cd違反", "2025-06-19 15:19:18"
"src/syllabus/2025/json/Y005078010.json", "不正ISBN: 桁数違反", "2025-06-19 15:19:18"
"src/syllabus/2025/json/Y005078010.json", "問題レコード: 書籍名類似度低 - シラバス書籍名「基礎　化学工学」、CiNii書籍名「基礎化学工学 = Fundamentals of chemical engineering」", "2025-06-19 15:19:18"
"src/syllabus/2025/json/Y005080700.json", "不正ISBN: 桁数違反", "2025-06-19 15:19:22"
"src/syllabus/2025/json/Y006023010.json", "不正ISBN: 桁数違反", "2025-06-19 15:19:39"
"src/syllabus/2025/json/Y006034010.json", "不正ISBN: 桁数違反", "2025-06-19 15:19:55"
"src/syllabus/2025/json/Y006034010.json", "不正ISBN: 桁数違反", "2025-06-19 15:19:55"
